 ListingID,Link,lat,lng,Bedrooms,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Dynamic Pricing,id
26397330,[ABnB](https://www.airbnb.com/rooms/26397330),16.76792,-99.77999,Studio,-NA,0,2546,26,253122,95,7,None,0
24738537,[ABnB](https://www.airbnb.com/rooms/24738537),16.76724,-99.77861,Studio,4.78,9,2587,0,0,0,3,None,1
27425819,[ABnB](https://www.airbnb.com/rooms/27425819),16.7686,-99.7795,Studio,-NA,0,2649,0,0,0,5,None,2
26037766,[ABnB](https://www.airbnb.com/rooms/26037766),16.7686,-99.7795,Studio,-Unknown,1,2751,0,0,0,5,None,3
35652252,[ABnB](https://www.airbnb.com/rooms/35652252),16.76886,-99.7784,Studio,-NA,0,3183,32,388740,116,7,None,4
32162234,[ABnB](https://www.airbnb.com/rooms/32162234),16.76954,-99.78011,Studio,-Unknown,1,3265,2,29407,8,7,None,5
35671176,[ABnB](https://www.airbnb.com/rooms/35671176),16.76971,-99.77904,Studio,-NA,0,3799,46,673672,169,7,Low,6
48661942,[ABnB](https://www.airbnb.com/rooms/48661942),16.7686,-99.78512,Studio,-NA,0,7187,0,7187,1,6,None,7
25008860,[ABnB](https://www.airbnb.com/rooms/25008860),16.76974,-99.78492,Studio,3.5,4,1991,0,0,0,3,None,8
46798993,[ABnB](https://www.airbnb.com/rooms/46798993),16.76998,-99.78496,Studio,-NA,0,3860,22,242567,67,3,None,9
32670895,[ABnB](https://www.airbnb.com/rooms/32670895),16.76812,-99.78576,Studio,-NA,0,3059,1,9200,4,7,None,10
49469543,[ABnB](https://www.airbnb.com/rooms/49469543),16.771383,-99.784363,Studio,-NA,0,1519,0,1520,1,2,None,11
46851643,[ABnB](https://www.airbnb.com/rooms/46851643),16.77017,-99.78524,Studio,5.0,1,3080,0,3080,1,5,None,12
18207145,[ABnB](https://www.airbnb.com/rooms/18207145),16.76959,-99.78759,Studio,3.0,4,2053,31,73107,31,5,None,13
24915504,[ABnB](https://www.airbnb.com/rooms/24915504),16.77211,-99.78664,Studio,4.85,14,2464,0,0,0,3,None,14
36075821,[ABnB](https://www.airbnb.com/rooms/36075821),16.77642,-99.78704,Studio,-NA,0,4086,1,11582,4,7,None,15
